GRB,seed,ra_max,dec_max,max_sigma,region_size_deg
GRB150101641,53,188.08593749999997,-10.92087092724124,1.7106103540156938,0.5
GRB150101641,23,188.3935546875,-11.034862721522956,1.0962464083582384,0.5
GRB150101641,119,187.734375,-11.377105585610948,0.12109217250069598,0.5
GRB150101641,60,188.34960937499997,-11.072869793448007,0.9449667716758354,0.5
GRB150101641,103,187.998046875,-11.45321500317911,0.7756232613129974,0.5
GRB150101641,110,187.8662109375,-11.4151577427305,3.139770391290356,0.5
GRB150101641,83,188.4814453125,-11.110881800003284,1.5432296801253498,0.5
GRB150101641,19,187.82226562499997,-11.072869793448007,1.9627427191437423,0.5
GRB150101641,67,187.6025390625,-10.65505931650236,2.020633152415191,0.5
GRB150101641,16,187.6025390625,-10.65505931650236,2.4703345461182957,0.5
GRB150101641,107,187.6025390625,-10.65505931650236,1.426586880047671,0.5
GRB150101641,64,187.5146484375,-10.806922874860348,1.7697377629378834,0.5
GRB150101641,63,188.3056640625,-11.33905851299086,0.7318400268128191,0.5
GRB150101641,91,188.3056640625,-10.579155995477763,1.8327187904248974,0.5
GRB150101641,101,187.998046875,-11.45321500317911,1.1654329327843853,0.5
GRB150101641,62,188.3935546875,-10.65505931650236,1.6976331833131417,0.5
GRB150101641,4,187.55859375,-11.148898759848649,1.02128423254483,0.5
GRB150101641,51,188.34960937499997,-11.301016506062155,2.8798859912256574,0.5
GRB150101641,116,187.734375,-10.996860565588975,2.104924377442256,0.5
GRB150101641,76,187.8662109375,-11.4151577427305,2.4254169574400875,0.5
GRB150101641,54,187.998046875,-11.22494761415382,2.4970001245617754,0.5
GRB150101641,1,187.82226562499997,-11.377105585610948,2.530814081454755,0.5
GRB150101641,88,188.4814453125,-10.8828834076524,1.5087149879021766,0.5
GRB150101641,75,187.5146484375,-10.95886330702767,1.7483198044460002,0.5
GRB150101641,18,188.0419921875,-10.730981560440028,2.588739792702821,0.5
GRB150101641,93,188.26171875,-11.148898759848649,2.053944130099658,0.5
GRB150101641,70,188.34960937499997,-11.301016506062155,1.1260204530835893,0.5
GRB150101641,68,187.998046875,-10.465336172372773,1.366584204757154,0.5
GRB150101641,90,188.4814453125,-10.95886330702767,1.1683271765724774,0.5
GRB150101641,20,188.08593749999997,-10.465336172372773,1.4766505543142467,0.5
GRB150101641,80,187.55859375,-10.996860565588975,1.4611653704856689,0.5
GRB150101641,13,187.6025390625,-10.65505931650236,1.8365668318804802,0.5
GRB150101641,6,187.95410156249997,-10.65505931650236,1.0738856633273435,0.5
GRB150101641,3,187.998046875,-11.45321500317911,1.3533094008395918,0.5
GRB150101641,115,188.3935546875,-10.8828834076524,2.016357008684547,0.5
GRB150101641,17,187.77832031249997,-11.33905851299086,2.2514401494779266,0.5
GRB150101641,112,187.82226562499997,-11.072869793448007,2.6961449096555947,0.5
GRB150101641,8,187.734375,-10.541211385029001,2.3237281796389038,0.5
GRB150101641,109,188.21777343749997,-10.65505931650236,2.633606582328087,0.5
GRB150101641,122,188.4814453125,-10.806922874860348,1.9611578485957986,0.5
GRB150101641,55,188.4814453125,-11.110881800003284,2.0373432140164365,0.5
GRB150101641,52,188.4814453125,-11.110881800003284,1.418230516808333,0.5
GRB150101641,124,187.8662109375,-11.4151577427305,1.2283586796252708,0.5
GRB150101641,71,188.26171875,-11.072869793448007,1.9413724323816657,0.5
GRB150101641,114,188.4814453125,-10.806922874860348,1.7454503200469125,0.5
GRB150101641,61,187.6025390625,-10.65505931650236,1.3749974628351604,0.5
GRB150101641,57,187.95410156249997,-11.110881800003284,2.1528952412401665,0.5
GRB150101641,74,187.734375,-11.377105585610948,0.8310371488757214,0.5
GRB150101641,77,188.3935546875,-10.65505931650236,0.9416046249887811,0.5
GRB150101641,22,188.1298828125,-11.4151577427305,0.894897977720786,0.5
GRB150101641,120,188.26171875,-10.541211385029001,2.4355407562578897,0.5
GRB150101641,89,187.6025390625,-11.186920691664895,2.826418214539646,0.5
