GRB,transit,seed,ra_max,dec_max,max_sigma,region_size_deg,trials_factor,p_pre,p_post,sigma_post
GRB200415367,transit_1,GRB200415367_transit_1FINAL_C0,12.128906249999998,-25.48904676283783,0.5044747851940822,0.6,1.0,0.3069638883623901,0.3069638883623901,0.5044747851940823
GRB200415367,transit_2,GRB200415367_transit_2FINAL_C0,11.865234374999998,-25.40642689987743,4.233766503911199,0.6,1.0,1.1490477662134957e-05,1.1490477662134957e-05,4.233766503910415
GRB200605762,transit_2,GRB200605762_transit_2FINAL_C0,95.11976047904191,51.11049323600477,1.110898870113667,0.6,1.0,0.1333059409504913,0.1333059409504913,1.1108988701136664
