GRB,max_0.15deg,max_0.3deg,max_0.6deg
GRB150101641,nan,nan,nan
GRB150110923,nan,nan,nan
GRB150120123,nan,nan,nan
GRB150811849,nan,nan,nan
GRB150819440,nan,nan,nan
GRB151229285,nan,nan,nan
GRB160612842,nan,nan,nan
GRB160624477,nan,nan,nan
GRB160714097,nan,nan,nan
GRB160806584,nan,nan,nan
GRB160821937,nan,nan,nan
GRB160822672,nan,nan,nan
GRB170206453,nan,nan,nan
GRB170318644,nan,nan,nan
GRB170403583,nan,nan,nan
GRB170708046,nan,nan,nan
GRB170803729,nan,nan,nan
GRB170816599,nan,nan,nan
GRB170817529,nan,nan,nan
GRB170826369,nan,nan,nan
GRB171007498,nan,nan,nan
GRB180204109,nan,nan,nan
GRB180402406,nan,nan,nan
GRB180418281,nan,nan,nan
GRB180715755,nan,nan,nan
GRB180718082,nan,nan,nan
GRB180805543,nan,nan,nan
GRB181125371,nan,nan,nan
GRB190427190,nan,nan,nan
GRB190515190,nan,nan,nan
GRB200415367,nan,nan,nan
GRB200605762,nan,nan,nan
GRB200623138,nan,nan,nan
GRB201008443,nan,nan,nan
GRB201214672,nan,nan,nan
GRB210323918,nan,nan,nan
GRB210618072,nan,nan,nan
GRB210827416,nan,nan,nan
GRB211024065,nan,nan,nan
GRB220412713,nan,nan,nan
GRB220418720,nan,nan,nan
GRB220511571,nan,nan,nan
GRB220617772,nan,nan,nan
GRB221022815,nan,nan,nan
GRB221120895,nan,nan,nan
GRB230228244,nan,nan,nan
GRB230512269,nan,nan,nan
GRB230812790,nan,nan,nan
