GRB,transit,seed,ra_max,dec_max,max_sigma,region_size_deg,trials_factor,p_pre,p_post,sigma_post
GRB150101641,transit_1,53,188.08593749999997,-10.92087092724124,1.7106103540156938,0.6,1.0,0.04357653316354382,0.04357653316354382,1.7106103540156932
GRB150101641,transit_1,23,188.3935546875,-11.034862721522956,1.0962464083582384,0.6,1.0,0.13648547763649788,0.13648547763649788,1.0962464083582382
GRB150101641,transit_1,119,187.82226562499997,-11.529344909490291,0.6793511651123983,0.6,1.0,0.24845769228518655,0.24845769228518655,0.6793511651123986
GRB150101641,transit_1,60,188.34960937499997,-11.072869793448007,0.9449667716758354,0.6,1.0,0.17233792019138316,0.17233792019138316,0.9449667716758353
GRB150101641,transit_1,103,188.08593749999997,-11.529344909490291,1.2280427782947507,0.6,1.0,0.10971545487612533,0.10971545487612533,1.2280427782947507
GRB150101641,transit_1,110,187.77832031249997,-11.491277385808047,3.459999389056981,0.6,1.0,0.00027008830675301354,0.00027008830675301354,3.4599993890569514
GRB150101641,transit_1,83,188.4814453125,-11.110881800003284,1.5432296801253498,0.6,1.0,0.061387529202531654,0.061387529202531654,1.5432296801253491
GRB150101641,transit_1,19,187.998046875,-11.529344909490291,2.2274167301196175,0.6,1.0,0.012959717659528525,0.012959717659528525,2.2274167301196184
GRB150101641,transit_1,67,187.4267578125,-11.110881800003284,2.253186531036134,0.6,1.0,0.012123695143949953,0.012123695143949953,2.2531865310361354
GRB150101641,transit_1,16,187.6025390625,-10.579155995477763,2.856911823750843,0.6,1.0,0.002138923295518236,0.002138923295518236,2.8569118237508357
GRB150101641,transit_1,107,187.6025390625,-10.503271450113203,1.7195000034772256,0.6,1.0,0.042761683508939385,0.042761683508939385,1.7195000034772252
GRB150101641,transit_1,64,187.4267578125,-10.806922874860348,1.9618600904787422,0.6,1.0,0.02488938768394,0.02488938768394,1.9618600904787424
GRB150101641,transit_1,63,187.4267578125,-10.806922874860348,0.7751798526889897,0.6,1.0,0.21911669577393256,0.21911669577393256,0.77517985268899
GRB150101641,transit_1,91,188.34960937499997,-10.541211385029001,1.9840644548840152,0.6,1.0,0.023624327513596,0.023624327513596,1.9840644548840158
GRB150101641,transit_1,101,188.0419921875,-11.491277385808047,1.1929049843404735,0.6,1.0,0.1164532934781235,0.1164532934781235,1.192904984340473
GRB150101641,transit_1,62,188.4814453125,-10.65505931650236,1.7644554568941175,0.6,1.0,0.038827664198198164,0.038827664198198164,1.764455456894118
GRB150101641,transit_1,4,187.47070312499997,-11.22494761415382,1.3003156532318518,0.6,1.0,0.09674640263359258,0.09674640263359258,1.3003156532318516
GRB150101641,transit_1,51,188.34960937499997,-11.301016506062155,2.8798859912256574,0.6,1.0,0.00198909499509603,0.00198909499509603,2.8798859912256525
GRB150101641,transit_1,116,187.734375,-10.996860565588975,2.104924377442256,0.6,1.0,0.017648945662019133,0.017648945662019133,2.1049243774422566
GRB150101641,transit_1,76,187.8662109375,-11.4151577427305,2.4254169574400875,0.6,1.0,0.007645406779655195,0.007645406779655195,2.4254169574400892
GRB150101641,transit_1,54,187.998046875,-11.22494761415382,2.4970001245617754,0.6,1.0,0.006262445635441538,0.006262445635441538,2.4970001245617786
GRB150101641,transit_1,1,187.82226562499997,-11.377105585610948,2.530814081454755,0.6,1.0,0.005689907505328273,0.005689907505328273,2.530814081454757
