GRB,transit,seed,ra_max,dec_max,max_sigma,region_size_deg,trials_factor,p_pre,p_post,sigma_post
GRB150101641,transit_1,GRB150101641_transit_1FINAL_C0,187.91015624999997,-10.693018063891415,0.0,0.3,1.0,0.5,0.5,0.0
GRB150101641,transit_2,GRB150101641_transit_2FINAL_C0,187.91015624999997,-10.693018063891415,0.0,0.3,1.0,0.5,0.5,0.0
GRB150110923,transit_1,GRB150110923_transit_1FINAL_C0,289.2919921875,32.79716829582364,0.0,0.3,1.0,0.5,0.5,0.0
GRB150819440,transit_2,GRB150819440_transit_2FINAL_C0,59.32617187500001,39.98433353062975,0.0,0.3,1.0,0.5,0.5,0.0
GRB151229285,transit_1,GRB151229285_transit_1FINAL_C0,329.23828124999994,-20.4634246120076,0.0,0.3,1.0,0.5,0.5,0.0
GRB151229285,transit_2,GRB151229285_transit_2FINAL_C0,329.1064453125,-20.66262626019902,0.0,0.3,1.0,0.5,0.5,0.0
GRB160612842,transit_1,GRB160612842_transit_1FINAL_C0,348.2666015625,-25.11770081540115,0.0,0.3,1.0,0.5,0.5,0.0
GRB160612842,transit_2,GRB160612842_transit_2FINAL_C0,348.2666015625,-25.11770081540115,0.0,0.3,1.0,0.5,0.5,0.0
GRB160624477,transit_1,GRB160624477_transit_1FINAL_C0,330.51269531249994,29.65601354117841,0.0,0.3,1.0,0.5,0.5,0.0
GRB160624477,transit_2,GRB160624477_transit_2FINAL_C0,330.51269531249994,29.74189934003877,0.0,0.3,1.0,0.5,0.5,0.0
GRB160714097,transit_2,GRB160714097_transit_2FINAL_C0,234.20818505338082,64.10500035766258,0.0,0.3,1.0,0.5,0.5,0.0
GRB160821937,transit_1,GRB160821937_transit_1FINAL_C0,279.7892074198988,62.64964411571599,0.0,0.3,1.0,0.5,0.5,0.0
GRB170206453,transit_2,GRB170206453_transit_2FINAL_C0,212.87109375,14.7473541943056,0.0,0.3,1.0,0.5,0.5,0.0
GRB170318644,transit_1,GRB170318644_transit_1FINAL_C0,284.2822265625,6.579592944977634,0.0,0.3,1.0,0.5,0.5,0.0
GRB170318644,transit_2,GRB170318644_transit_2FINAL_C0,284.150390625,6.542045108684462,0.0,0.3,1.0,0.5,0.5,0.0
GRB170403583,transit_1,GRB170403583_transit_1FINAL_C0,259.27734375,18.64245256113864,0.0,0.3,1.0,0.5,0.5,0.0
GRB170403583,transit_2,GRB170403583_transit_2FINAL_C0,259.27734375,18.64245256113864,0.0,0.3,1.0,0.5,0.5,0.0
GRB170708046,transit_1,GRB170708046_transit_1FINAL_C0,335.74218749999994,20.06579223738852,0.0,0.3,1.0,0.5,0.5,0.0
GRB170708046,transit_2,GRB170708046_transit_2FINAL_C0,335.74218749999994,20.06579223738852,0.0,0.3,1.0,0.5,0.5,0.0
GRB170803729,transit_1,GRB170803729_transit_1FINAL_C0,174.85839843749997,-16.024100308155866,0.0,0.3,1.0,0.5,0.5,0.0
GRB170803729,transit_2,GRB170803729_transit_2FINAL_C0,174.85839843749997,-16.024100308155866,0.0,0.3,1.0,0.5,0.5,0.0
GRB170816599,transit_1,GRB170816599_transit_1FINAL_C0,350.771484375,13.13307660074608,0.0,0.3,1.0,0.5,0.5,0.0
